"UserID","Decay_Value","SyncRate_Value","Tracing"
"A29WHPBW1R07CT",0.62,0.68,"True"
"A2AG45K4ULNBHF",1.19,0.74,"True"
"A2AZYU1CT24O0K",3,0.54,"True"
"A2B227N1NQYS56",0.97,0.7,"True"
"A2BK9RMC0NOIH8",3,0.52,"True"
"A2BNOEYZ3VRW2R",1.11,0.76,"True"
"A2C73Y1COWCA51",3,0.6,"True"
"A2C7TMRC2QHTIW",1.13,0.7,"True"
"A2CHDWKAYZ3P3E",1.53,0.66,"True"
"A2D6VL5XE0O4D3",1.54,0.66,"True"
"A2DH6KE258SZBH",2.13,0.68,"True"
"A2DHKTD1GSBXR2",0.48,0.74,"True"
"A2DNLHS1RSTF5R",0.36,0.64,"True"
"A2EHH2ZFIRF1BF",1.02,0.74,"True"
"A2EUXA84IMO859",0.44,0.74,"True"
"A2FGDZX6Q0AFVM",1.99,0.8,"True"
"A2FL477TMKC91L",1.19,0.76,"True"
"A2FLOH4DM8A4ZS",0.91,0.68,"True"
"A2FUPODRRCESB",0.55,0.62,"True"
"A2GB0RI43KU4Z",0.31,0.78,"True"
"A2GOYSTIL3LOV1",1.87,0.6,"True"
"A2ILUP6FN8HKKC",1.97,0.68,"True"
"A2IVGLOBFOT67M",0.23,0.64,"True"
"A2LMQ4497NMK3S",0.79,0.74,"True"
"A2MKXI4KCRRI7Y",2.16,0.68,"True"
"A2NGMLBFZ3YQP5",2.2,0.7,"True"
"A2O5OJXCUFQ3FV",1.4,0.62,"True"
"A2OO4PG3LBLP5I",3,0.62,"True"
"A2PXJTMWGUE5DC",2.99,0.56,"True"
"A2R89RXGEVG05I",0.83,0.68,"True"
"A2R8IV2PWFTY00",1.19,0.58,"True"
"A2RCYLKY072XXO",1.06,0.66,"True"
"A2RRDATXKQ8HHC",3,0.64,"True"
"A2RVEG53L48BAE",3,0.54,"True"
"A2SENAPNSXG9L",1.75,0.58,"True"
"A2SJC9VRBGNC58",0.1,0.76,"True"
"A2SOHTPWH4VGP5",2.67,0.66,"True"
"A2SWQM5X54P1O5",2.17,0.58,"True"
"A2T7GR2Y72FY0K",0.56,0.64,"True"
"A2TVJTQ4VXATE6",0.16,0.66,"True"
"A2UTV66F2E69A6",0.42,0.84,"True"
"A2V35L3RIRYYXV",1.16,0.68,"True"
"A2V3ECGQQYNO85",2.68,0.62,"True"
"A2VAL2BRKVSUB5",0.83,0.66,"True"
"A2VBSFSJXLZZ7A",2.07,0.46,"True"
"A2VR9O234UCT9T",3,0.42,"True"
"A2VRDE2FHCBMF8",0.21,0.84,"True"
"A2WC2NO555XU3J",3,0.68,"True"
"A2XKVWHXJV0HWZ",0.17,0.48,"True"
"A2XQ3CFB5HT2ZQ",0.7,0.68,"True"
"A2XUADP5L61HQ5",1.01,0.74,"True"
"A2YDA5EGPSTMCC",3,0.6,"True"
"A2YP22IYWPZWR0",2.58,0.8,"True"
"A2YUCJ28XANFOX",1.14,0.64,"True"
"A2ZJAEL03VTZ8",1.15,0.66,"True"
"A2ZNOMZ35LKY8Q",0.27,0.66,"True"
"A30KYQGABO7JER",0.68,0.74,"True"
"A30RAYNDOWQ61S",1.84,0.78,"True"
"A30VLAIIJIG5IS",0.84,0.68,"True"
"A313JEGCVV2UES",0.68,0.74,"True"
"A31681CCEVDIH3",3,0.44,"True"
"A320QA9HJFUOZO",3,0.7,"True"
"A32E28U1ZP67NE",0.16,0.6,"True"
"A32QJF67JMJFKX",3,0.48,"True"
"A34BX72ZUITSW3",3,0.34,"True"
"A34DR0CVUBDL1N",0.64,0.54,"True"
"A34UER5ZQ5APMB",1.61,0.64,"True"
"A35K3YVCX1LVPE",2.51,0.66,"True"
"A35NM2285DUAFH",0.67,0.68,"True"
"A35QG1M8RGDUPC",2.91,0.7,"True"
"A361EVMLK9O0G1",2.4,0.74,"True"
"A36IU5EX4AZD04",1.87,0.82,"True"
"A37P8UZ3SAKM7A",1.53,0.62,"True"
"A37S96RT1P1IT2",2.5,0.54,"True"
"A38DXFI1TZA295",3,0.88,"True"
"A39C210BKD7YNN",1.71,0.78,"True"
"A39MKVROUZ1UWR",1.49,0.58,"True"
"A39ROW50DWRRKT",1.69,0.62,"True"
"A3BFMY5OX2WMUW",0.98,0.6,"True"
"A3C0NQ2IP5FTZQ",0.38,0.74,"True"
"A3CF8ULBSE8MTL",0.4,0.78,"True"
"A3CWYWKQXX4RIZ",3,0.6,"True"
"A3CXK1KSRGU27V",0.31,0.48,"True"
"A3D70ANCSMGX5F",3,0.48,"True"
"A3D9NTTKE35SRL",3,0.52,"True"
"A3EAUAU8V3B5S7",2.08,0.68,"True"
"A3FI4PWGQDJN25",2.03,0.6,"True"
"A3GPTSDDHJ2DBV",2.57,0.72,"True"
"A3GXC3VG37CQ3G",2.04,0.64,"True"
"A3HKMZ9ML9EPUY",2.57,0.66,"True"
"A3I9FTHSULHPYS",2.03,0.78,"True"
"A3ISDIYTS02E8C",2.15,0.6,"True"
"A3ITZNJQUTIZ4C",0.97,0.72,"True"
"A3J8Y94SGZ3R0E",1.02,0.68,"True"
"A3JDWMS5QJHREI",2.14,0.7,"True"
"A3JKTMLUUCR46A",1.66,0.46,"True"
"A3KH1OG87C8DCM",3,0.48,"True"
"A3LT7W355XOAKF",2.96,0.54,"True"
"A3MD34XEB4H6JF",0.65,0.52,"True"
"A3MXB3R0R9G9TA",3,0.46,"True"
"A3N6DWJC7P3HSI",1.38,0.74,"True"
"A3O7X46E3REM7I",0.43,0.72,"True"
"A3Q0XAGQ7TD7MP",1.98,0.68,"True"
"A3Q6MLGAKB7K0C",2.91,0.7,"True"
"A3QAETE7C7Z4R3",3,0.5,"True"
"A3QEVFM3UD67BA",0.89,0.66,"True"
"A3QLGMZOLGMBQ1",2.2,0.76,"True"
"A3R5OJR60C6004",0.25,0.58,"True"
"A3T9LVCYQIS4UT",3,0.32,"True"
"A3TCFIPOBRZZB3",1.3,0.68,"True"
"A3TOUB8313BPVS",0.19,0.62,"True"
"A3V1ZYXBJYCIIE",1.89,0.68,"True"
"A3V8C77FN4FLUA",0.66,0.68,"True"
"A3W4MAKNDI1SXM",1.78,0.52,"True"
"A5T9IFDZ3W4T6",3,0.52,"True"
"A60NQZ1KE5U8T",0.91,0.72,"True"
"A6HKCHY1RVBK7",2.01,0.76,"True"
"A6MWJK1YEY5L2",0.51,0.8,"True"
"A6SR4BU227GUH",2.39,0.52,"True"
"A6U2C66WQ7QQN",1.23,0.48,"True"
"A89R5XGMHOTJE",2.22,0.54,"True"
"A8AG71WQHPTYN",2.48,0.52,"True"
"A8FLNGDLNJCUU",0.92,0.74,"True"
"A8VFIXE5FL8C6",3,0.56,"True"
"A98E8M4QLI9RS",0.89,0.66,"True"
"A9A2IX3OBORBE",1.65,0.58,"True"
"A9HJGCF4HEN61",1.3,0.5,"True"
"A9HQ3E0F2AGVO",2.79,0.58,"True"
"A9WIOFVRSYW3L",1.02,0.68,"True"
"AA402T4YY1S7N",1.28,0.6,"True"
"AA4KKLIU4C3NY",1.61,0.7,"True"
"AA8PZKO9XGCKO",1.27,0.72,"True"
"AAASQIW3J32OL",0.26,0.84,"True"
"AADRVG2QVZH75",3,0.66,"True"
"AAQREZOK13OV7",1.25,0.68,"True"
"AC6Y70F8YSHJN",0.8,0.68,"True"
"ADWDNBND4BW94",0.11,0.68,"True"
"AETIZKQNUSBLB",2.84,0.62,"True"
"AFUX7IUQOE0NA",2.07,0.62,"True"
"AFZ7Z5FOWM9VN",0.54,0.7,"True"
"AGTV2SNFKXB11",1.29,0.62,"True"
"AHT8HA3JRWVGV",0.97,0.68,"True"
"AHTZ9RQ6G5",2.44,0.72,"True"
"AHZP05WVFXXCG",0.98,0.6,"True"
"AIEKCWYZTS41V",2.57,0.68,"True"
"AIPHJXQEDNW9L",0.98,0.72,"True"
"AIQT0DPRTXYYD",0.97,0.72,"True"
"AIWSB4YTN32GF",0.93,0.68,"True"
"AIZTLQM7HHQN6",0.58,0.68,"True"
"AJ2AOZ9IHBDIR",1.03,0.72,"True"
"AJFJ6VXZJKSXD",2.32,0.7,"True"
"AJXIC6Q5EM76P",2.21,0.62,"True"
"AKN8F5H6GBN81",1.15,0.54,"True"
"AKZ8SFOAI4RZN",1.17,0.8,"True"
"ALV4DAF8DIJ37",0.41,0.54,"True"
"ALZVG5501Y5IX",0.36,0.62,"True"
"AMLE1FC3SQVL8",0.32,0.64,"True"
"AMSAIACF91GM3",2.78,0.66,"True"
"AN098C29EGJ6",3,0.66,"True"
"AN9MVFWRCF2OP",1.37,0.74,"True"
"ANJJYKB47APL5",1.73,0.56,"True"
"ANNVWKERLZG9AA",1.81,0.66,"True"
"AOIR8V07FYMH5",0.71,0.7,"True"
"AOTCPS24JM5DQ",1.92,0.5,"True"
"AP7BOM5KUH8KV",0.96,0.72,"True"
"APGX2WZ59OWDN",2.55,0.84,"True"
"AQ5KOKZQSZU0B",0.4,0.58,"True"
"AQ9Y6WD8O72ZC",1.48,0.68,"True"
"AQOXSP4W3ITSW",2.77,0.5,"True"
"AR1IWBDA7MC86",0.2,0.72,"True"
"ARLGZWN6W91WD",1.35,0.76,"True"
"ARVU7VYF2489E",0.8,0.66,"True"
"ASI2B6A3Y556Z",1.07,0.58,"True"
"ASOALSPOWW0WY",2.26,0.62,"True"
"AT3C00TKZK13L",2.5,0.86,"True"
"AT6OT5K5Z4V0J",0.58,0.58,"True"
"AT9C1PB6JVCG6",0.79,0.62,"True"
"AU7A3QNJF3O00",3,0.44,"True"
"AUFOO8PU2BK37",0.26,0.74,"True"
"AV22FQTJNBUZT",1.16,0.64,"True"
"AVNXCGTZQ1CFK",2.42,0.62,"True"
"AW0K78T4I2T72",1.64,0.58,"True"
"AWEUAV2UW15NK",3,0.46,"True"
"AY5OS6NZWVX22",1.06,0.7,"True"
"AY9ZVK32I1P1L",2.98,0.54,"True"
"AYBYMDBEBK5Z",1.01,0.7,"True"
"AYJDIMKGMGCF9",1.88,0.72,"True"
"AZ8JL3QNIPY4U",0.9,0.78,"True"
"AZBH4LJ5SL456",0.19,0.76,"True"
"AZMOA8ONG0D2U",3,0.64,"True"
"AZVJA0TUHIUJK",1.96,0.66,"True"
